transaction_time|product_name|event_type|access_channel|result_description|result_code|offer_id|service_class|input|requested_product_id|expiry_date|subscription_mode|a_party_msisdn|product_validity|vat_fee|iname|network_status
25/08/2019 14:29:51:325||USSDBrowsing|USSD|SUCCESS|0|||||||971520002574||||
25/08/2019 14:29:54:222|CallHomeforLess|NACT|ussd|SUCCESS|0||1001|NACT_CallHomeforLess|820|09/01/2047 14:29:54:000|adhoc|971520002574|9999 Days|0|USSD|
25/08/2019 14:29:54:268||USSDBrowsing|USSD|SUCCESS|0|||||||971520002574||||
