transaction_time|product_name|event_type|access_channel|result_description|result_code|offer_id|service_class|input|requested_product_id|expiry_date|subscription_mode|a_party_msisdn|product_validity|vat_fee|iname|network_status
08/09/2019 10:46:42:659||USSDBrowsing|USSD|SUCCESS|0||1001|||||971520001714||||
08/09/2019 10:46:46:822|CallHomeforLess|NACT|ussd|SUCCESS|0||1001|NACT_CallHomeforLess|820|23/01/2047 10:46:46:000|adhoc|971520001714|9999 Days|0|USSD|
08/09/2019 10:46:46:869||USSDBrowsing|USSD|SUCCESS|0||1001|||||971520001714||||
